 # The filling factors of cosmological HII/HeIII regions and the ensuing electron scattering optical depth
 #
 # The following 11 lines are model identification flags 
 # CUBA V6.3 Nov 2011
 # 0.1000E+01
 # 0.4000E+00 0.1300E+01 0.2000E+00 0.4400E+00 0.1570E+01 0.9000E+00
 # 0.1200E+06 0.1000E+05 0.5000E+04 0.1300E+04
 # 0.3000E+00 0.7000E+00 0.8900E-01 0.7000E+00
 # 0.1000E+01
 # Inputs/salp_SFRD1parfit.hiz.dat
 # Inputs/column_dist.dat
 # 0.1000E+01
 # 0.1800E-03 0.3400E+01
 # 0.1000E+02
 #
 # The following 3 lines are column identification labels
 # z=redshift, Q_HII=ionized hydrogen filling factor, Q_HeIII=doubly ionized helium filling factor,
 # tau_es= (HII+HeII+HeIII) electron scattering optical depth from z to infinity
 #   z         Q_HII     Q_HeIII    tau_es

 0.1650E+01 0.6063E+01 0.1809E+01 0.7786E-01
 0.1600E+01 0.6140E+01 0.1784E+01 0.7813E-01
 0.1550E+01 0.6215E+01 0.1765E+01 0.7840E-01
 0.1500E+01 0.6287E+01 0.1756E+01 0.7867E-01
 0.1450E+01 0.6359E+01 0.1754E+01 0.7892E-01
 0.1400E+01 0.6429E+01 0.1757E+01 0.7918E-01
 0.1350E+01 0.6496E+01 0.1762E+01 0.7943E-01
 0.1300E+01 0.6560E+01 0.1767E+01 0.7968E-01
 0.1250E+01 0.6621E+01 0.1773E+01 0.7993E-01
 0.1200E+01 0.6678E+01 0.1779E+01 0.8016E-01
 0.1150E+01 0.6730E+01 0.1782E+01 0.8040E-01
 0.1100E+01 0.6777E+01 0.1784E+01 0.8063E-01
 0.1050E+01 0.6820E+01 0.1784E+01 0.8086E-01
 0.1000E+01 0.6858E+01 0.1782E+01 0.8108E-01
 0.9500E+00 0.6890E+01 0.1777E+01 0.8130E-01
 0.9000E+00 0.6917E+01 0.1770E+01 0.8152E-01
 0.8500E+00 0.6939E+01 0.1760E+01 0.8172E-01
 0.8000E+00 0.6955E+01 0.1749E+01 0.8193E-01
 0.7500E+00 0.6967E+01 0.1734E+01 0.8213E-01
 0.7000E+00 0.6973E+01 0.1717E+01 0.8232E-01
 0.6500E+00 0.6973E+01 0.1698E+01 0.8250E-01
 0.6000E+00 0.6968E+01 0.1677E+01 0.8268E-01
 0.5500E+00 0.6960E+01 0.1654E+01 0.8286E-01
 0.5000E+00 0.6946E+01 0.1629E+01 0.8303E-01
 0.4500E+00 0.6928E+01 0.1603E+01 0.8320E-01
 0.4000E+00 0.6907E+01 0.1575E+01 0.8336E-01
 0.3500E+00 0.6882E+01 0.1545E+01 0.8350E-01
 0.3000E+00 0.6854E+01 0.1515E+01 0.8365E-01
 0.2500E+00 0.6823E+01 0.1483E+01 0.8379E-01
 0.2000E+00 0.6790E+01 0.1450E+01 0.8392E-01
 0.1500E+00 0.6755E+01 0.1416E+01 0.8404E-01
 0.1000E+00 0.6719E+01 0.1382E+01 0.8416E-01
 0.5000E-01 0.6682E+01 0.1347E+01 0.8427E-01
 0.0000E+00 0.6645E+01 0.1312E+01 0.8436E-01
